word,drm_list,cb_list,position,item,list_BAS,list_valence,list_arousal,valence,arousal,emotion
soccer,foot,A,6,target,0.2,NaN,NaN,NaN,NaN,neutral
walk,foot,A,7,target,0.2,NaN,NaN,NaN,NaN,neutral
hand,foot,A,8,target,0.2,NaN,NaN,NaN,NaN,neutral
knee,foot,A,9,target,0.2,NaN,NaN,NaN,NaN,neutral
boot,foot,A,10,target,0.2,NaN,NaN,NaN,NaN,neutral
sock,foot,A,11,related,0.2,NaN,NaN,NaN,NaN,neutral
love,love,A,0,critical,0.21,NaN,NaN,8,5.36,positive
kiss,love,A,1,target,0.21,NaN,NaN,NaN,NaN,positive
like,love,A,2,target,0.21,NaN,NaN,NaN,NaN,positive
heart,love,A,3,target,0.21,NaN,NaN,NaN,NaN,positive
care,love,A,4,target,0.21,NaN,NaN,NaN,NaN,positive
adore,love,A,5,target,0.21,NaN,NaN,NaN,NaN,positive
close,love,A,6,target,0.21,NaN,NaN,NaN,NaN,positive
friendship,love,A,7,target,0.21,NaN,NaN,NaN,NaN,positive
happiness,love,A,8,target,0.21,NaN,NaN,NaN,NaN,positive
appreciate,love,A,9,target,0.21,NaN,NaN,NaN,NaN,positive
life,love,A,10,target,0.21,NaN,NaN,NaN,NaN,positive
kindness,love,A,11,related,0.21,NaN,NaN,NaN,NaN,positive
green,green,A,0,critical,NaN,NaN,NaN,6.29,4.07,positive
field,green,A,1,target,NaN,NaN,NaN,NaN,NaN,positive
yellow,green,A,2,target,NaN,NaN,NaN,NaN,NaN,positive
blue,green,A,3,target,NaN,NaN,NaN,NaN,NaN,positive
color,green,A,4,target,NaN,NaN,NaN,NaN,NaN,positive
red,green,A,5,target,NaN,NaN,NaN,NaN,NaN,positive
leaf,green,A,6,target,NaN,NaN,NaN,NaN,NaN,positive
clover,green,A,7,target,NaN,NaN,NaN,NaN,NaN,positive
frog,green,A,8,target,NaN,NaN,NaN,NaN,NaN,positive
elf,green,A,9,target,NaN,NaN,NaN,NaN,NaN,positive
vegetables,green,A,10,target,NaN,NaN,NaN,NaN,NaN,positive
tree,green,A,11,related,NaN,NaN,NaN,NaN,NaN,positive
baby,baby,A,0,critical,0.33,NaN,NaN,6.67,4.97,positive
child,baby,A,1,target,0.33,NaN,NaN,NaN,NaN,positive
small,baby,A,2,target,0.33,NaN,NaN,NaN,NaN,positive
newborn,baby,A,3,target,0.33,NaN,NaN,NaN,NaN,positive
cute,baby,A,4,target,0.33,NaN,NaN,NaN,NaN,positive
infant,baby,A,5,target,0.33,NaN,NaN,NaN,NaN,positive
mother,baby,A,6,target,0.33,NaN,NaN,NaN,NaN,positive
crib,baby,A,7,target,0.33,NaN,NaN,NaN,NaN,positive
toddler,baby,A,8,target,0.33,NaN,NaN,NaN,NaN,positive
diaper,baby,A,9,target,0.33,NaN,NaN,NaN,NaN,positive
boy,baby,A,10,target,0.33,NaN,NaN,NaN,NaN,positive
little,baby,A,11,related,0.33,NaN,NaN,NaN,NaN,positive
pretty,pretty,A,0,critical,0.16,NaN,NaN,7.7,5.5,positive
adorable,pretty,A,1,target,0.16,NaN,NaN,NaN,NaN,positive
attractive,pretty,A,2,target,0.16,NaN,NaN,NaN,NaN,positive
